USPS|GEOID|GEOIDFQ|ANSICODE|NAME|LSAD|FUNCSTAT|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
CO|0852210|1600000US0852210|02583269|Mountain Meadows CDP|57|S|4461874|0|1.723|0.|40.027039|-105.383136
CO|0852350|1600000US0852350|02413021|Mountain View town|43|A|240817|0|0.093|0.|39.774776|-105.056711
CO|0852550|1600000US0852550|02413024|Mountain Village town|43|A|8547099|0|3.3|0.|37.932416|-107.857737
CO|0852570|1600000US0852570|02413018|Mount Crested Butte town|43|A|5355219|0|2.068|0.|38.908302|-106.960587
CO|0852820|1600000US0852820|02583270|Mulford CDP|57|S|1731029|0|0.668|0.|39.406355|-107.165987
CO|0853010|1600000US0853010|02805910|Nathrop CDP|57|S|1873131|0|0.723|0.|38.74874|-106.07642
CO|0853120|1600000US0853120|02413035|Naturita town|43|A|1594057|0|0.615|0.|38.218344|-108.566633
CO|0853175|1600000US0853175|02413037|Nederland town|43|A|3832540|179672|1.48|0.069|39.963815|-105.505864
CO|0853395|1600000US0853395|02413042|New Castle town|43|A|6465076|232132|2.496|0.09|39.577645|-107.526453
CO|0853780|1600000US0853780|02408929|Niwot CDP|57|S|10349324|23594|3.996|0.009|40.097552|-105.15828
CO|0853875|1600000US0853875|02583271|No Name CDP|57|S|462885|0|0.179|0.|39.55973|-107.292787
CO|0853945|1600000US0853945|02583272|Norrie CDP|57|S|487459|0|0.188|0.|39.328131|-106.656275
CO|0854330|1600000US0854330|02411280|Northglenn city|25|A|19063490|219010|7.36|0.085|39.911627|-104.982148
CO|0854495|1600000US0854495|02583273|North La Junta CDP|57|S|3522522|78931|1.36|0.03|37.999608|-103.523187
CO|0854750|1600000US0854750|02408953|North Washington CDP|57|S|13457223|595970|5.196|0.23|39.807749|-104.98004
CO|0854880|1600000US0854880|02413057|Norwood town|43|A|904886|0|0.349|0.|38.128399|-108.29225
CO|0854935|1600000US0854935|02413058|Nucla town|43|A|1796598|0|0.694|0.|38.266687|-108.548695
CO|0855045|1600000US0855045|02413059|Nunn town|43|A|10305684|0|3.979|0.|40.71371|-104.788848
CO|0855155|1600000US0855155|02413061|Oak Creek town|43|A|954670|0|0.369|0.|40.274024|-106.957639
CO|0855540|1600000US0855540|02413078|Olathe town|43|A|3905147|0|1.508|0.|38.608531|-107.983278
CO|0855705|1600000US0855705|02413079|Olney Springs town|43|A|623096|0|0.241|0.|38.166274|-103.944491
CO|0855870|1600000US0855870|02413085|Ophir town|43|A|608736|0|0.235|0.|37.85681|-107.831242
CO|0855925|1600000US0855925|02583274|Orchard CDP|57|S|413959|0|0.16|0.|40.332001|-104.117799
CO|0855980|1600000US0855980|02413088|Orchard City town|43|A|29840239|22366|11.521|0.009|38.818125|-107.96727
CO|0856035|1600000US0856035|02408997|Orchard Mesa CDP|57|S|9420754|226227|3.637|0.087|39.037385|-108.522836
CO|0856145|1600000US0856145|02413090|Ordway town|43|A|2017947|0|0.779|0.|38.220834|-103.756585
CO|0856365|1600000US0856365|02413094|Otis town|43|A|1070196|0|0.413|0.|40.150126|-102.962138
CO|0856420|1600000US0856420|02411342|Ouray city|25|A|2234425|0|0.863|0.|38.027543|-107.673348
CO|0856475|1600000US0856475|02413096|Ovid town|43|A|403309|0|0.156|0.|40.960755|-102.388336
CO|0856695|1600000US0856695|02409014|Padroni CDP|57|S|2101065|0|0.811|0.|40.781814|-103.173297
CO|0856860|1600000US0856860|02413099|Pagosa Springs town|43|A|13112785|67479|5.063|0.026|37.263422|-107.003565
CO|0856970|1600000US0856970|02413101|Palisade town|43|A|3077607|14259|1.188|0.006|39.107931|-108.35733
CO|0857025|1600000US0857025|02413103|Palmer Lake town|43|A|8017420|55968|3.096|0.022|39.115801|-104.909206
CO|0857245|1600000US0857245|02413107|Paoli town|43|A|766300|0|0.296|0.|40.612764|-102.471758
CO|0857300|1600000US0857300|02413109|Paonia town|43|A|2146724|0|0.829|0.|38.869797|-107.592084
CO|0857400|1600000US0857400|02413110|Parachute town|43|A|6660286|245484|2.572|0.095|39.446642|-108.054907
